,text
143,b'Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.'
144,"b'Coding is important \xe2\x80\x93 and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g\xe2\x80\xa6 https://t.co/xwlnvxsjKb'"
145,"b""Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin\xe2\x80\xa6 https://t.co/xY0UhBSvqp"""
146,b'We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.'
147,"b'RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma http\xe2\x80\xa6'"
148,b'Proud of these McKinley Tech students\xe2\x80\x94inspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB'
149,b'Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d'
150,"b'To target hopeful young strivers who grew up here is wrong, because they\xe2\x80\x99ve done nothing wrong. My statement: https://t.co/TCxZdld7L4'"
151,"b""Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one\xe2\x80\xa6 https://t.co/I3RHWyZe31"""
152,b'Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.'
153,"b'""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela'"
154,"b'""People must learn to hate, and if they can learn to hate, they can be taught to love...""'"
155,"b'""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm'"
156,"b""John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John."""
157,"b""Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7"""
158,"b""Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad\xe2\x80\xa6 https://t.co/XSqMhcSuvR"""
159,"b'On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole\xe2\x80\xa6 https://t.co/S7dth6Ywb0'"
160,b'Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we\xe2\x80\xa6 https://t.co/BwRS0onlOL'
161,b'Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims\xe2\x80\xa6 https://t.co/f1U8It8AmE'
162,"b'Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer\xe2\x80\xa6 https://t.co/xyMer891Zo'"
163,b'Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.'
164,"b'Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in\xe2\x80\xa6 https://t.co/bF1kB1GvxC'"
165,"b""Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there."""
166,"b""We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR"""
167,"b""Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil\xe2\x80\xa6 https://t.co/jB3LXT94Ok"""
168,b'RT @ObamaFoundation: It\xe2\x80\x99s a beautiful day on the South Side. https://t.co/PtoaFbww0s'
169,b'My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.'
170,"b""Chuck Berry rolled over everyone who came before him \xe2\x80\x93 and turned up everyone who came after.  We'll miss you, Chuck.  Be good."""
171,"b'On International Women\xe2\x80\x99s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang\xe2\x80\xa6 https://t.co/Er9mIQlmgr'"
172,b'RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage https://t\xe2\x80\xa6'
173,"b""Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:\xe2\x80\xa6 https://t.co/25Ohhab8Xn"""
174,b'We asked. You answered. https://t.co/mAJvko6VqR'
175,"b'Happy Valentine\xe2\x80\x99s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN'"
176,b'I read letters like these every single day. It was one of the best parts of the job \xe2\x80\x93 hearing from you. https://t.co/so1luBcszV'
177,b'RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3'
178,"b""In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT"""
179,"b'Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we\xe2\x80\x99ll get back to work.'"
180,"b'Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell'"
181,"b'RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""\n\nWatch the weekly address: https://t.co/Pfk\xe2\x80\xa6'"
182,"b'In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx'"
183,"b""Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a"""
184,b'The landmark #ParisAgreement enters into force today\xe2\x80\x94we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro'
185,"b'The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport'"
