id,created_at,text
986405191711944704,2018-04-18 00:44:58,b'Our statement on the passing of Former First Lady Barbara Bush: https://t.co/MhTVYCL9Nj'
985841501321269250,2018-04-16 11:25:04,b'RT @ObamaFoundation: We just announced the inaugural class of #ObamaFellows. These 20 civic leaders have carried out inspiring work around\xe2\x80\xa6'
981540886726217729,2018-04-04 14:35:58,"b'RT @ObamaFoundation: This week\xe2\x80\x9450 years since Dr. Martin Luther King, Jr. was killed\xe2\x80\x94@BarackObama and @RepJohnLewis sat down with a group o\xe2\x80\xa6'"
977931743880761344,2018-03-25 15:34:31,b'Incredible to have a Chicago team in the Final Four. I\xe2\x80\x99ll take that over an intact bracket any day! Congratulations\xe2\x80\xa6 https://t.co/V9IbaSlbIp'
977592827348742146,2018-03-24 17:07:47,b'Michelle and I are so inspired by all the young people who made today\xe2\x80\x99s marches happen. Keep at it. You\xe2\x80\x99re leading\xe2\x80\xa6 https://t.co/d0DTg594Cs'
975851480648421376,2018-03-19 21:48:18,b'Our most important task as a nation is to make sure all our young people can achieve their dreams. We\xe2\x80\x99ve started th\xe2\x80\xa6 https://t.co/gNw9ks6pMY'
975751255296487424,2018-03-19 15:10:02,"b'In Singapore with young people who are advocating for education, empowering young women, and getting involved all o\xe2\x80\xa6 https://t.co/V5uHCeMWUa'"
974440685175754752,2018-03-16 00:22:18,b'41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M'
974424008182689792,2018-03-15 23:16:02,b'Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!'
974015556675391488,2018-03-14 20:12:59,"b'Just because I have more time to watch games doesn\xe2\x80\x99t mean my picks will be better, but here are my brackets this ye\xe2\x80\xa6 https://t.co/gWpZwlceV3'"
973936533320413184,2018-03-14 14:58:59,b'Have fun out there among the stars. https://t.co/S285MTwGtp'
973260504411058176,2018-03-12 18:12:41,"b'Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an\xe2\x80\xa6 https://t.co/kneWyU2Tu1'"
968681836078608385,2018-02-28 02:58:41,"b'I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want\xe2\x80\xa6 https://t.co/1ammpZayJx'"
966704319658647553,2018-02-22 16:00:44,"b'Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu\xe2\x80\xa6 https://t.co/wXO3wBtJ8V'"
966350067287363584,2018-02-21 16:33:04,"b'Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t\xe2\x80\xa6 https://t.co/V8WtgIRPEB'"
